term,coefficient,odds_ratio,ci_lower_odds_ratio,ci_upper_odds_ratio,p_value
"C(attendance_status, Treatment(reference='PT'))[T.FT]",1.1818297650377003,3.260334394237672,2.6849026866234533,3.9590933463652616,8.405060204794809e-33
"C(ethnicity_grouped, Treatment(reference='Hispanic'))[T.Asian]",0.5927888056715279,1.8090264102511755,1.45268247019342,2.252781746963961,1.1829530537887724e-07
"C(gender_grouped, Treatment(reference='F'))[T.M]",-0.3883118407118785,0.6782008196585834,0.5768640349646675,0.7973392756470705,2.5668825567063397e-06
"C(bog_eligible, Treatment(reference='No'))[T.Yes]",0.43158998439007606,1.5397036831767281,1.269072096954444,1.8680478734637902,1.2086957429854964e-05
Intercept,-1.3998227525368327,0.24664067650174562,0.1202265113594891,0.50597511827775,0.00013441709994075593
"C(ethnicity_grouped, Treatment(reference='Hispanic'))[T.White]",0.3341348052318185,1.3967314175865952,1.1309643579936635,1.724951488598892,0.0019169169969880538
"C(high_school_feeder, Treatment(reference='Not a Feeder HS'))[T.Feeder HS]",0.3480375887357019,1.4162854851202706,1.125445159464581,1.7822854880966654,0.0030008465912515305
"C(high_school_feeder, Treatment(reference='Not a Feeder HS'))[T.Unknown]",-0.49090612280986456,0.6120715308598424,0.4269094481968474,0.8775433771059781,0.007571459472740959
international_student,1.5105945624831065,4.529423018884228,1.4241676510034516,14.405377674140553,0.010499202149885643
"C(education_goal_grouped, Treatment(reference='Transfer-Oriented'))[T.Associate Degree]",-0.49681644495140576,0.6084646603217623,0.41227689116468796,0.8980111444388135,0.012362415849843876
disability,0.4518624320527777,1.5712357820280598,1.071479236439841,2.304087469700529,0.020698785630044028
age,-0.03313201978753168,0.9674108337853186,0.9353140205931768,1.0006091010286227,0.054280305273563936
"C(residency_grouped, Treatment(reference='California Resident'))[T.Nonresident/Foreign]",0.41963264815466633,1.5214025629124377,0.9782167922162495,2.3662093892218143,0.06257109756658308
"C(ethnicity_grouped, Treatment(reference='Hispanic'))[T.Black]",-0.7129054160921787,0.49021783958297804,0.22022075704753608,1.0912392340633412,0.08079229955569099
athlete,0.23302787707247002,1.262416671317768,0.9348632621362482,1.704736849300605,0.12839031194167966
"C(district_status, Treatment(reference='In-District'))[T.Out-of-District]",-0.15183813996665008,0.8591273278656739,0.6939800040102455,1.063574975100747,0.16329703548736585
"C(residency_grouped, Treatment(reference='California Resident'))[T.AB540/Exempt/Other]",0.4822227934883947,1.619670597169561,0.8100480278668694,3.2384905006728135,0.17254721475847756
"C(district_status, Treatment(reference='In-District'))[T.Unknown]",-0.6478941988326558,0.5231462596595478,0.17304780302283093,1.5815399225823572,0.25103398581597147
"C(education_goal_grouped, Treatment(reference='Transfer-Oriented'))[T.Certificate/Vocational]",-0.08896042369134542,0.9148817805017065,0.6068843512713663,1.3791897427253108,0.6709873450861626
"C(ethnicity_grouped, Treatment(reference='Hispanic'))[T.Other/Multiple/Unknown]",-0.0035279534706894877,0.996478262445187,0.735759062726927,1.3495843650848973,0.9818128049568157
"C(gender_grouped, Treatment(reference='F'))[T.Other/Unknown]",0.00036540991624667285,1.0003654766865828,0.5832899419438298,1.7156666264660934,0.9989406775240828
